221034, 10016, 2031CC1,  ,  ,  ,  ,  ,  , 
220144,  , 27215, 17318, 3034CC1, 10027,  ,  , 08334, 
220147,  , 3034CC7, 111530, 10029, 08335, 17316, 14019,  , 
220150, 10024, 1113AAF3, 14016,  , 3034CC3,  , 17311,  , 
220153, 1205B0, 11153<, 1113AAF5, 08331,  , 3034CC5, 17317, 14015, 
220156, 1113AAF6,  ,  ,  , 1401:, 1162DPPA0, 08337, 17315, 
220159, 17314,  , 111538, 27218,  , 10020,  , 3034CC4, 
220162,  ,  , 17318, 10029,  , 14018, 3034CC6, 1162DPPA:, 
220165, 1002:,  , 3034CC2, 08336,  ,  , 14011,  , 
220168, 08339,  ,  , 3034CC1, 17312,  , 1122CT>, 27214, 
220171, 1162DPPA7, 17319,  , 14013, 111539, 10026,  , 3034CC4, 
220174, 3034CC0, 17319, 0397A8,  , 1113AAF7, 111537, 10028,  , 
220177, 1122CT:, 3034CC7, 27213, 10023, 08330, 1113AAF1, 14019,  , 
220180, 1205B0, 27215,  ,  , 14012, 17310, 0833:, 10025, 
220183,  ,  ,  , 10029, 08335, 17316, 111536, 14015, 
220186,  ,  ,  , 08331,  , 1162DPPA8, 14011, 111535, 
220189, 1002:, 14017, 17318,  , 3034CC3, 08338, 1162DPPA1,  , 
220192,  , 1122CT8,  , 1205B1, 10021, 3034CC5,  , 17315, 
220195, 1113AAF6,  , 1162DPPA3,  , 1201B0, 27216, 10022, 0397A7, 
220198, 10024,  , 08333, 1281B0,  ,  , 1162DPPA9,  , 
220201, 11153;,  , 1122CT9,  , 1281B1, 1162DPPA0, 10028, 27214, 
220204, 3034CC0, 0397A2, 27213, 17313, 10027, 14010,  ,  , 
220207, 1002:, 111534,  , 3034CC1, 17312,  , 1113AAF2,  , 
220210,  , 3034CC7, 08333, 27210, 1162DPPA6, 17310, 1113AAF:,  , 
220213, 2721:, 1113AAF3, 0397A8,  ,  , 0833;,  , 3034CC4, 
220216,  , 17319, 3034CC2, 14013, 1205B2, 10026,  , 08334, 
220219, 08339,  , 111530, 27218, 10021, 17316,  ,  , 
220222, 10024, 14017, 17318, 1113AAF4, 3034CC3,  , 1201B2,  , 
220225, 08339,  , 14016, 0397A4, 17312, 3034CC5, 1162DPPA1, 1113AAF0, 
220228,  ,  ,  , 1201B1, 0397A1, 1113AAF1, 17311, 1162DPPA2, 
220231,  , 08332,  , 17313, 111539, 0397A6, 27217,  , 
220234, 08339,  , 111538, 1281B0, 1401:, 17310, 3034CC6, 27214, 
220237, 27212, 17319, 3034CC2,  , 1201B0, 1113AAF9, 0397A5, 10025, 
220240, 3034CC0,  ,  ,  , 1281B1, 17316, 08337,  , 
220243, 1002:,  , 17318, 3034CC1, 1122CT<,  , 1162DPPA9,  , 
220246, 17314, 08332,  , 27210, 10027, 14010,  , 3034CC4, 
220249,  , 14017,  ,  , 3034CC3,  , 0833:, 1113AAF8, 
220252, 17314, 3034CC7,  , 08336,  , 1201B4, 14019,  , 
220255, 0397A3, 1162DPPA4,  , 10023,  , 3034CC5, 1122CT>, 14015, 
220258,  , 17319, 3034CC2,  , 27211, 08338, 1113AAF:, 10025, 
220261, 1122CT2, 08332,  , 1205B1, 27219, 14018, 3034CC6, 17315, 
220264, 3034CC0,  , 0397A0, 10029, 08330, 27216, 14011,  , 
220267, 10024,  , 08333, 3034CC1, 17312,  , 1201B2,  , 
220270, 1113AAF6,  ,  , 10023, 08335, 1162DPPA8, 14019, 27214, 
220273, 11153;, 3034CC7,  , 14013, 0397A1, 10020,  , 08334, 
220276, 17314,  , 27213, 08331,  , 0397A6, 111536, 14015, 
220279,  , 27215, 1162DPPA3,  , 1201B0, 17316, 10022, 1122CT5, 
220282, 1122CT:,  ,  , 27210, 3034CC3, 10026,  , 08334, 
220285,  ,  , 17318, 27218, 10021, 1201B4,  , 3034CC4, 
220288,  , 1113AAF3,  ,  , 17312, 0833;, 10028, 11153=, 
220291,  , 111534,  ,  , 27219, 17310, 08337, 10025, 
220294,  , 11153<,  , 08336,  , 27216, 14011, 1162DPPA2, 
220297,  , 1122CT0,  , 10029, 08330, 3034CC5, 14019,  , 
220300,  , 1122CT8,  ,  , 111531, 17316, 0833:, 27214, 
220303, 08339,  ,  , 3034CC1, 1113AAF7,  , 17317, 1162DPPA:, 
220306,  , 1162DPPA4, 27213, 1205B1, 10027, 14018,  , 08334, 
220309, 20411, 17319, 08333, 14013, 0397A1, 10020,  ,  , 
220312, 17314, 27215, 111538,  ,  , 20418, 10028, 14015, 
220315, 20415, 1201C0, 08333, 27210, 14012, 10026,  ,  , 
220318, 08339,  , 0397A8, 17313, 10021,  , 20416,  , 
220321,  ,  ,  ,  , 10027, 08338, 2041:, 1201B3, 
220324,  ,  , 1162DPPA3,  , 27219, 111537, 17311, 20413, 
220327,  ,  ,  , 10023,  , 27216, 14011, 20417, 
220330, 20411,  ,  , 10029,  , 1113AAF9, 14019,  , 
220333, 1162DPPA7,  ,  ,  , 1205B2, 17310, 10022, 27214, 
220336, 27212,  ,  ,  , 1201B0, 0833;,  , 0397A7, 
220339, 1162DPPA7, 17319,  ,  , 20410, 1201B4, 10028, 14015, 
220342, 20415, 14017, 17318, 111532, 1162DPPA6,  , 1201B2,  , 
220345, 1205B0,  , 27213, 10023, 20419, 1162DPPA0, 14011,  , 
220348,  ,  ,  , 14013, 1122CT<, 10026, 20416, 17315, 
220351, 1113AAF6,  , 0397A0, 10029,  , 20414, 14019,  , 
220354, 08339,  , 14016, 27218, 10021,  , 2041:, 1113AAF8, 
220357,  , 1113AAF3, 1201C2,  , 27219, 17310, 08337, 20413, 
220360,  ,  , 1113AAF5,  , 1281B1, 1122CT?, 10022, 20417, 
220363, 20411,  ,  ,  , 0397A1, 17316, 10028,  , 
220366,  ,  ,  , 20412, 10027,  ,  , 17315, 
220369, 20415,  , 17318, 1201C1, 1113AAF7,  , 1162DPPA9,  , 
220372, 17314, 08332,  , 11153:, 1401:, 10020,  , 1113AAF0, 
220375, 1122CT2,  ,  , 17313, 08335, 20418,  ,  , 
220378, 20411, 14017,  ,  , 1201B0,  , 0397A5,  , 
220381, 20415, 27215, 14016,  , 17312,  , 1122CT>,  , 
220384,  ,  ,  ,  , 10021, 14018, 0833:, 1162DPPA:, 
220387,  ,  ,  , 14013, 10027, 17316, 2041:, 111535, 
220390, 14014,  , 1162DPPA3, 20412, 27219,  , 17311, 10025, 
220393, 111533, 0397A2,  , 10023, 20410, 1113AAF1, 17317, 14015, 
220396, 1122CT:,  , 111530, 1205B1, 14012, 10020,  , 17315, 
220399, 17314,  ,  ,  , 20419, 08338, 10022, 1122CT=, 
220402, 10024, 14017, 111538, 08331,  , 20414, 1201B2,  , 
220405,  , 1122CT0, 17318,  , 1401:, 10026,  , 20413, 
220408, 2721:, 111534, 1122CT1,  ,  , 20418, 10028, 1201B3, 
220411,  , 08332,  , 17313, 10021, 14010,  , 20417, 
220414, 1162DPPA7, 17319,  ,  , 111531, 0397A6, 1113AAF2, 10025, 
220417, 20411,  , 14016,  , 17312,  , 1113AAF:,  , 
220420, 1205B0,  ,  , 111532, 10027, 14018,  , 1113AAF8, 
220423,  ,  , 08333, 1281B0, 27219, 1162DPPA8, 20416,  , 
220426,  , 1122CT8,  , 14013, 1281B1, 10020, 2041:, 17315, 
220429, 08339,  , 1122CT9, 10029, 20410, 17316, 27217, 14015, 
220432, 0397A3,  , 1113AAF5, 1122CT3, 14012, 10026,  , 27214, 
220435, 27212,  ,  , 1122CT;, 10021, 17310,  , 1201C5, 
220438, 17314, 0397A2,  ,  , 20419, 1201B4, 10022,  , 
220441, 10024, 27215, 17318, 08336,  , 20414, 1162DPPA1,  , 
220444, 1002:, 14017, 27213, 17313, 08330, 20418, 1122CT>,  , 
220447,  , 1201C0, 0397A0, 10023, 08335, 17316, 14019, 20413, 
220450, 08339,  , 14016, 20412, 1122CT4,  , 17311, 111535, 
220453, 20415,  ,  ,  , 27211, 0833;, 10028,  , 
220456, 1002:, 14017, 17318, 20412, 27219,  , 1162DPPA9, 11153=, 
220459,  ,  ,  , 0397A4, 10027, 14010,  , 08334, 
220462, 10024, 1162DPPA4,  , 1281B0, 20410,  , 27217, 14015, 
220465,  , 17319,  ,  , 111539, 10020, 20416, 27214, 
220468,  ,  , 111530, 10029, 20419, 1113AAF1, 14011, 1162DPPA2, 
220471, 1122CT:,  ,  , 14013,  , 20414,  ,  , 
220474, 27212, 17319,  ,  , 1201B0, 111537, 08337, 10025, 
220477, 17314,  , 1162DPPA3,  ,  , 20418, 0833:,  , 
220480,  , 1113AAF3,  ,  , 1205B2, 1122CT?, 2041:, 0397A7, 
220483,  , 08332,  , 27218, 10021,  ,  , 20413, 
220486,  ,  ,  ,  , 1162DPPA6, 17310, 1113AAF:, 20417, 
220489,  ,  , 17318,  , 27219, 1162DPPA0, 20416, 1113AAF0, 
220492, 0397A3,  ,  ,  , 20410, 08338, 10028, 14015, 
220495,  , 11153<,  ,  , 10027, 0833;, 2041:, 17315, 
220498, 27212,  , 111538,  , 17312, 10020,  , 1162DPPA:, 
220501, 20411, 1122CT0, 0397A8, 17313,  , 10026,  ,  , 
220504,  ,  ,  , 14013, 10021, 17310,  , 08334, 
220507, 20415,  , 27213, 08331,  , 17316, 14011,  , 
220510, 1002:, 27215, 14016, 20412, 111531,  , 17311, 1113AAF8, 
220513, 14014, 08332,  , 20412, 27211,  , 17317, 10025, 
220516,  , 1201C0, 1122CT1, 27210, 10027,  ,  , 08334, 
220519, 20411,  , 08333, 27218, 1401:, 10020,  ,  , 
220522, 20415, 17319,  ,  , 111539, 10026, 08337,  , 
220525, 08339,  , 1201C2, 10029, 20419, 27216, 14019, 1122CT=, 
220528, 1205B0,  ,  , 10023,  , 20414, 27217, 14015, 
220531,  ,  , 17318, 1205B1, 10021, 14018, 20416, 11153=, 
220534, 20411, 14017, 27213, 1113AAF4, 17312,  , 0397A5,  , 
220537, 27212,  ,  ,  , 1281B1, 111537, 10022, 0397A7, 
220540, 20415,  , 08333, 14013, 10027, 17310,  ,  , 
220543, 1205B0, 27215,  , 08336,  , 20418, 10028,  , 
220546,  ,  ,  , 27210, 14012, 10020, 2041:, 17315, 
220549, 20411, 17319, 14016,  , 27211,  , 1162DPPA9,  , 
220552, 17314,  , 0397A0, 27218, 1401:, 10026,  , 1162DPPA:, 
220555,  ,  , 17318,  , 10021, 14010,  , 20413, 
220558, 1201C3, 08332,  , 10029, 20410, 1113AAF1, 14019,  , 
220561, 1162DPPA7, 1201C0,  , 10023, 20419, 1113AAF9, 17311, 14015, 
220564,  , 1162DPPA4,  ,  , 10027, 14018,  , 20417, 
220567, 27212,  , 1162DPPA3,  , 08330, 20414, 14011, 10025, 
220570,  ,  , 08333, 1205B1, 1122CT4, 17316, 20416,  , 
220573, 10024, 111534, 1122CT9, 27210, 08335, 20418, 1113AAF:,  , 
220576, 2721:,  ,  , 1122CT3, 1205B2, 0397A6, 17317, 1162DPPA2, 
220579, 1002:, 14017, 17318, 1162DPPA5, 20410,  , 0397A5, 1201B3, 
220582,  ,  , 14016, 27218, 1162DPPA6, 10020, 2041:, 17315, 
220585, 14014, 17319,  , 20412, 1281B1,  , 10022, 1113AAF8, 
220588,  ,  ,  , 17313, 1122CT<, 1162DPPA0, 111536, 20413, 
220591,  ,  ,  , 1201B1, 27219, 1162DPPA8, 17311, 20417, 
220594, 20415, 0397A2,  ,  , 1201B0, 1122CT7, 10028,  , 
220597,  ,  ,  , 14013, 111539, 10026, 20416, 17315, 
220600, 20411, 14017, 27213, 111532, 17312,  , 1162DPPA1,  , 
220603, 20415,  , 0397A0, 11153:, 10021, 1201B4,  , 08334, 
220606, 2721:, 17319, 0397A8,  , 10027, 111537,  , 1201C5, 
220609, 111533, 27215,  ,  , 20419, 17310, 14019, 10025, 
220612, 1113AAF6,  ,  , 27210,  , 20414,  ,  , 
220615, 1122CT2,  ,  , 08331,  , 20418, 1201B2, 14015, 
220618,  , 1113AAF3, 17318,  , 27211, 10026, 0833:,  , 
220621, 1002:,  , 14016, 20412, 17312,  , 1162DPPA9,  , 
220624,  ,  ,  ,  , 20410, 08338, 10022, 1122CT5, 
220627,  ,  , 1113AAF5,  , 1281B1, 0833;, 10028, 20413, 
220630, 1122CT:,  ,  , 14013, 10021, 17316,  , 11153=, 
220633, 10024, 1122CT0, 27213, 1113AAF4, 20419,  , 17317, 0397A7, 
220636, 0397A3, 1122CT8,  , 20412, 10027,  ,  , 17315, 
220639, 20411, 17319,  ,  , 1401:, 10020,  ,  , 
220642, 17314, 111534,  ,  ,  , 20414,  , 1122CT=, 
220645,  ,  , 17318, 08336,  , 20418,  ,  , 
220648, 20415, 14017,  , 17313, 0397A1,  ,  ,  , 
220651,  ,  , 14016,  , 17312,  , 08337, 20417, 
220654,  , 1162DPPA4, 1122CT1,  , 111531, 0397A6, 20416,  , 
220657,  ,  , 08333, 10029, 20410, 27216, 14019,  , 
220660, 20411,  ,  ,  , 111539, 17310, 10028,  , 
220663, 08339,  , 111538, 14013, 10021, 17316, 2041:, 1113AAF8, 
220666, 27212, 17319, 1122CT9,  , 1281B1, 1113AAF9, 0397A5, 10025, 
220669, 2721:, 20537,  , 1122CT3, 10027,  ,  , 17315, 
220672, 17314, 27215, 20536,  , 1401:, 10020,  ,  , 
220675, 10024,  , 17318, 11153:, 20530,  , 1113AAF2,  , 
220678, 1002:, 14017,  , 17313, 27211,  , 1113AAF:,  , 
220681, 1162AB3, 17319,  ,  , 20535, 111537, 10022,  , 
220684,  , 1201C0, 17318, 27210, 1122CT<, 20532, 111536,  , 
220687,  ,  ,  , 17313, 27219, 1122CT7, 20533,  , 
220690, 1113AAF6,  , 1113BP2, 10023,  , 1122CT?, 17311, 14015, 
220693,  ,  , 1113AAF5, 1205B1, 20530, 27216, 17317,  , 
220696,  ,  ,  , 20534, 17312, 10026,  , 111535, 
220699, 27212, 20537,  , 10029,  , 14018,  , 17315, 
220702, 1122CT2,  , 20536, 14013, 10021, 17310,  ,  , 
220705, 2721:, 17319, 1201C2,  , 20535, 1162DPPA8, 10028,  , 
220708,  ,  , 1113BP2, 27210, 1162DPPA6, 20532, 17311,  , 
220711,  , 20537,  , 1113AAF4, 10027, 17316,  , 11153=, 
220714, 1162AB3, 27215, 14016,  , 17312,  , 20533, 10025, 
220717, 111533,  ,  , 1281B0, 1401:, 10020,  , 20531, 
220720, 11153;,  ,  , 20534, 1281B1, 17316, 1162DPPA1,  , 
220723,  , 111534,  ,  , 27219, 20532, 10022,  , 
220726,  ,  ,  , 0397HNC0, 20530, 10026,  , 17315, 
220729,  , 11153<, 17318, 20534, 10021, 14018,  , 27214, 
220732, 1122CT:,  ,  , 14013, 10027, 1201B4,  ,  , 
220735, 17314,  , 20536, 10023,  , 1113AAF1, 14011, 1162DPPA2, 
220738, 10024,  ,  , 1205B1, 17312,  , 20533,  , 
220741, 1002:, 20537,  ,  ,  ,  , 14019, 1162DPPA:, 
220744, 17314,  , 27213, 10029,  , 1113AAF9, 1201B2, 14015, 
220747,  , 27215, 20536,  ,  , 17310, 10028,  , 
220750,  ,  ,  ,  , 14012, 10020,  , 1113AAF0, 
220753, 10024, 14017, 111538, 17313,  ,  , 20533,  , 
220756, 1002:,  , 14016, 111532, 20535,  , 17311,  , 
220759, 10024,  ,  , 20534, 1201C4,  , 17317, 1122CT5, 
220762, 27212, 1122CT8,  , 1162DPPA5, 1401:, 10026,  , 17315, 
220765,  ,  , 17318, 0397HNC0, 1205B2, 20532, 111536,  , 
220768,  , 20537, 27213, 1113BP0, 10021, 14010,  , 111535, 
220771,  ,  ,  , 1281B0, 10027, 14018,  ,  , 
220774, 2721:, 14017,  ,  , 20535,  ,  , 10025, 
220777, 0397HNC1,  , 20536, 10023,  , 17316, 14019,  , 
220780, 17314,  ,  , 10029,  ,  , 20533, 14015, 
220783,  , 17319, 1162DPPA3,  , 1201B0, 20532, 10022,  , 
220786, 1113BP3, 1162AB1, 14016,  , 17312,  , 10028, 20531, 
220789, 1002:,  ,  , 20534, 1162AB4,  , 17311, 1113AAF8, 
220792,  ,  , 1122CT1, 0397HNC0, 20530, 1201B4, 17317, 1162DPPA2, 
220795, 27212, 20537, 1122CT9, 14013,  , 10020,  , 17315, 
220798,  , 1201C0, 17318, 1122CT3, 14012, 10026,  , 1162DPPA:, 
220801, 1113AAF6,  , 27213, 17313, 10021,  ,  ,  , 
220804, 2721:, 1113AAF3,  ,  , 1113BP4, 17310, 20533, 10025, 
220807, 111533, 27215,  ,  , 1205B2, 1162DPPA0, 10022, 20531, 
220810,  ,  , 1113BP2, 10023,  , 20532, 14011,  , 
220813, 1113BP3, 20537,  , 10029,  , 14010,  , 1201B3, 
220816,  ,  , 1113AAF5, 1201B1, 10027, 14018,  , 17315, 
220819, 10024, 14017,  , 17313, 27219,  , 1162DPPA1,  , 
220822,  ,  , 17318, 14013, 20535, 10020,  ,  , 
220825,  , 17319,  ,  , 1122CT<, 20532, 10028,  , 
220828, 27212,  , 14016,  , 17312,  , 20533, 10025, 
220831,  , 11153<,  , 20534, 1205B2, 17310, 1162DPPA9, 27214, 
220834, 2721:, 1113BP1,  ,  , 111531, 1113AAF1, 10022, 20531, 
220837, 1002:,  , 20536, 1162AB0,  ,  , 14019, 1201B3, 
220840, 1162DPPA7, 20537,  , 10023,  , 1122CT7, 17317, 14015, 
220843, 0397HNC1, 1162DPPA4,  , 1205B1, 1113BP4, 17316, 20533,  , 
220846,  ,  , 20536, 111532, 14012, 10026,  , 17315, 
220849, 1113BP3, 17319,  ,  , 10021,  ,  , 20531, 
220852,  , 1113BP1, 17318,  , 10027, 14010,  ,  , 
220855, 10024,  ,  , 1113BP0, 17312,  , 111536, 1113AAF0, 
220858, 17314, 20537, 1122CT1, 10029,  , 14018,  , 27214, 
220861, 1162DPPA7,  ,  , 17313, 20535, 1113AAF9, 1122CT6,  , 
220864, 1205B0,  , 20536, 10023,  , 17310, 14011,  , 
220867, 2721:,  ,  , 20534, 1113BP4, 111537, 17311,  , 
220870, 1113BP3, 17319,  ,  , 1201B0, 1162DPPA0, 10028,  , 
220873,  ,  , 17318, 1205B1, 20530, 27216, 1113AAF:,  , 
220876, 1113AAF6,  ,  , 27210, 20535, 1201B4, 17317, 1162DPPA2, 
220879,  ,  ,  , 10029,  , 20532, 14019, 17315, 
220882,  , 1113BP1,  , 20534, 27211, 17316, 1201B2, 1113AAF8, 
220885, 1002:, 14017, 1162AB2, 1113AAF4, 17312,  , 1162DPPA1, 20531, 
220888, 10024,  , 14016, 17313, 20530,  , 27217,  , 
220891, 11153;,  , 1113AAF5, 1281B0, 20535, 27216, 17311, 1162DPPA:, 
220894,  ,  , 17318, 0397HNC0, 1205B2, 20532, 1162DPPA9, 1113AAF0, 
220897, 27212, 111534,  , 14013, 0397HNC2, 10020,  , 1122CT=, 
220900, 1205B0,  , 111530, 1162AB0, 1113AAF7, 17316, 20533,  , 
220903, 17314, 20537, 1122CT9,  ,  , 10026,  , 14015, 
220906, 1002:, 11153<, 20536, 1122CT3,  ,  , 14011,  , 
220909,  ,  , 17318, 1205B1, 27211, 1113AAF1, 111536, 20531, 
220912, 1122CT:, 20537, 111538, 27218, 10021,  ,  , 17315, 
220915, 1113BP3, 27215,  , 20534, 10027,  ,  , 1201B3, 
220918, 17314, 1162DPPA4, 20536, 10023,  ,  , 14019,  , 
220921,  , 17319, 1162DPPA3,  , 111531, 14010,  , 10025, 
220924,  , 1113BP1,  , 17313, 1122CT4, 1113AAF9, 20533,  , 
220927, 27212, 17319, 1162AB2,  , 20530, 111537, 10022,  , 
220930, 2721:,  , 1113BP2, 11153:, 20535, 10020,  , 1113AAF8, 
220933, 0397HNC1, 20537,  , 1162DPPA5,  , 10026,  , 14015, 
220936,  , 1122CT0, 17318, 1162AB0, 1162DPPA6, 1201B4, 1113AAF:, 20531, 
219035, 10034, 1113AAF3,  ,  , 20419, 1162DPPA0, 0833:,  , 
219038,  , 1205C1, 1715AP1, 1113AAF4, 08330, 20414,  , 111535, 
219041,  , 1201C0, 1113AAF5,  , 1122CT<, 08338, 10035, 20413, 
219044, 1113AAF6,  , 111530, 10031,  , 20418,  , 1162DPPA2, 
219047,  , 08332,  , 1201C1, 1715AP5, 1122CT?,  , 20417, 
219050, 08339,  , 10030, 20412, 1201C4,  , 1122CT6, 1113AAF0, 
219053, 20415,  , 111538,  , 10032, 0833;, 1122CT>,  , 
219056,  , 111534, 08333, 1205C2, 20410,  , 1162DPPA1,  , 
219059, 1122CT2,  , 1715AP1, 10031, 20419,  , 1162DPPA9, 1113AAF8, 
219062,  , 11153<, 1113AAF5, 1162DPPA5, 08335, 20414,  , 1205C0, 
219065, 1162DPPA7,  , 10036, 20412, 111531,  ,  , 1122CT5, 
219068,  , 1113AAF3, 1162DPPA3, 08331,  , 20418,  , 10033, 
219071, 10034, 1201C0,  , 11153:, 20410, 1113AAF1,  , 08334, 
219074,  , 1715AP0, 1201C2, 1113AAF4, 1162DPPA6,  , 20416, 1122CT=, 
219077,  , 1162DPPA4, 1715AP1, 08336,  , 1113AAF9, 2041:,  , 
219080, 1122CT:, 08332,  , 20412, 1201C4,  ,  , 111535, 
219083,  , 1122CT0, 1205C3,  , 1715AP5, 1162DPPA0, 08337, 20413, 
219086,  , 1122CT8, 10030, 1205C2, 1113AAF7,  ,  , 08334, 
219089, 1715AP3,  , 1122CT9,  , 10032, 111537, 0833:, 1162DPPA2, 
219092,  , 1201C0, 10036,  , 20419, 08338, 1113AAF:,  , 
219095,  ,  , 1715AP1,  , 1122CT4, 0833;, 20416, 10033, 
219098, 10034,  ,  , 1122CT3, 08330, 20414, 1162DPPA9,  , 
219101, 08339,  , 1201C2, 10031, 1122CT<,  , 2041:, 1162DPPA:, 
219104, 1162DPPA7, 10037,  , 1122CT;,  , 20418,  , 1113AAF0, 
219107, 20411, 1162DPPA4, 111530,  , 08335,  , 10035,  , 
219110,  , 1715AP0, 10030, 08331,  , 1113AAF1,  , 20413, 
219113,  ,  , 111538, 1205C2, 10032,  ,  , 08334, 
219116, 1113AAF6,  , 10036, 1715AP2, 20410, 1122CT7,  , 08334, 
219119, 08339,  , 1162DPPA3, 20412, 1715AP5,  , 1122CT6, 10033, 
219122, 10034,  ,  ,  , 1201C4, 1122CT?, 08337, 1162DPPA2, 
219125, 20415, 10037,  , 08336,  , 1113AAF9, 1122CT>,  , 
219128,  , 1205C1, 08333, 111532, 1122CT4, 1162DPPA0, 20416,  , 
219131,  , 1715AP0, 08333, 11153:, 1122CT<, 1162DPPA8, 2041:,  , 
219134,  ,  , 1201C2, 10031, 20419,  , 1162DPPA1,  , 
219137, 20411, 1113AAF3, 10030,  , 1715AP5,  , 0833:,  , 
219140, 1122CT2,  , 1113AAF5, 20412, 10032,  ,  , 08334, 
219143, 1715AP3, 111534, 10036, 20412, 1113AAF7,  ,  , 08334, 
219146,  , 1205C1, 1162DPPA3,  , 111539,  , 10035, 20413, 
219149,  , 11153<, 1122CT1, 1162DPPA5, 08330, 20414,  ,  , 
219152,  , 1162DPPA4, 1205C3,  , 1715AP5, 1113AAF1,  , 20417, 
219155, 10034,  ,  , 1715AP2, 08335, 20418,  , 1162DPPA2, 
219158,  , 10037,  ,  , 1162DPPA6,  , 20416, 1113AAF0, 
219161, 20415, 1205C1, 1162DPPA3, 08331,  , 1122CT7, 10035,  , 
219164, 20411, 1122CT0, 10030,  , 1201C4, 1162DPPA0, 1113AAF:,  , 
219167,  , 1113AAF3, 1205C3,  , 20410, 08338,  , 10033, 
219170,  , 1122CT8, 10036, 1715AP2, 20419, 1162DPPA8,  , 08334, 
219173, 08339,  , 1122CT9, 20412, 1715AP5,  , 1162DPPA1, 1201C5, 
219176, 1113AAF6, 08332,  , 20412, 10032,  , 1162DPPA9, 1715AP4, 
219179,  , 1205C1, 111530, 1162DPPA5,  , 20414, 1122CT6,  , 
219182, 1201C3,  , 1113AAF5, 10031,  , 20418,  , 1162DPPA:, 
219185, 20415, 1201C0,  ,  , 1113AAF7, 0833;,  ,  , 
219188, 1122CT2, 1162DPPA4, 111538, 1715AP2, 20410,  ,  ,  , 
219191,  ,  , 08333, 1113AAF4, 10032,  , 2041:,  , 
219194,  , 10037,  , 08336,  ,  ,  , 20413, 
219197, 1162DPPA7,  , 10030, 20412, 1201C4,  ,  , 1113AAF8, 
219200,  , 111534, 10036,  , 1162DPPA6,  , 08337, 20417, 
219203,  , 1205C1, 1715AP1,  , 20419, 1162DPPA0, 0833:, 1122CT=, 
219206, 1122CT:,  , 1205C3,  , 111539, 1113AAF1,  , 10033, 
219209, 10034, 1122CT0,  , 1715AP2, 08330, 20414,  ,  , 
219212,  , 11153<, 1122CT1, 1113AAF4, 08335, 20418,  , 1715AP4, 
219215, 1113AAF6, 08332,  , 111532, 20410,  ,  , 1205C0, 
219218,  , 1715AP0, 1113AAF5, 08331,  ,  , 20416, 1201C5, 
219221,  , 1205C1, 1715AP1,  , 1122CT4, 1113AAF9, 2041:, 1162DPPA:, 
219224,  , 1122CT8, 1205C3,  , 1715AP5, 08338, 1162DPPA9, 20413, 
219227, 20411,  , 10030, 08336,  ,  , 1113AAF2,  , 
219230,  , 1113AAF3, 1122CT9,  , 08330,  , 10035, 20417, 
219233, 20415, 1162DPPA4, 10036, 1205C2,  ,  , 1113AAF:,  , 
219236,  , 1715AP0, 1162DPPA3,  , 1113AAF7, 0833;, 20416, 10033, 
219239, 08339,  , 1715AP1, 10031, 1122CT<,  , 2041:, 1113AAF0, 
219242, 10034, 08332,  , 1162DPPA5, 20419, 1113AAF1,  ,  , 
219245,  , 08332,  , 1122CT;, 10032,  ,  , 20413, 
219248,  , 10037,  ,  , 1201C4, 1122CT7, 08337, 20417, 
219251, 1715AP3, 11153<, 1113AAF5,  , 08335, 20414, 10035, 1201C5, 
219254,  , 1715AP0, 111530,  , 1162DPPA6, 1122CT?, 0833:, 10033, 
219257, 1201C3,  , 111538, 08331,  , 20418, 1122CT6,  , 
219260, 20411,  , 08333, 1715AP2, 10032, 1113AAF9,  ,  , 
219263, 08339,  , 10030, 1205C2, 20410,  , 1162DPPA1, 1715AP4, 
219266, 20415, 1201C0, 10036,  , 111531, 08338, 1162DPPA9,  , 
219269, 10034, 08332,  , 20412, 1113AAF7,  ,  , 1162DPPA2, 
219272,  , 1205C1, 1715AP1, 11153:, 20419,  ,  , 08334, 
219275,  , 1715AP0, 1205C3, 1113AAF4, 111539,  , 2041:, 1122CT5, 
219278,  , 10037,  , 1201C1,  , 20414, 1113AAF:,  , 
219281, 08339,  , 10030, 20412, 1715AP5,  ,  , 1122CT=, 
219284, 1113AAF6, 1162DPPA4, 10036,  , 1201C4, 0833;,  , 1715AP4, 
219287, 111533,  , 1122CT1, 08336,  , 20418,  ,  , 
219290,  , 1201C0, 1162DPPA3,  , 08330, 1113AAF9, 10035, 20413, 
219293, 20411,  , 08333, 1162DPPA5, 10032,  , 1122CT6,  , 
219296,  ,  , 1201C2, 10031, 1122CT4,  ,  , 08334, 
219299,  ,  , 1122CT9,  , 10032,  , 08337, 1113AAF8, 
219302, 10034, 1113AAF3,  ,  , 20410, 1162DPPA0, 0833:, 1715AP4, 
219305, 1715AP3,  , 20536,  ,  , 1162DPPA8, 1113AAF2, 10033, 
219308,  , 10037,  , 1122CT3, 1113BP4, 20532,  ,  , 
219311, 1164B2, 1113BP1, 1715AP1, 111532,  ,  , 20533,  , 
219314, 1723B2, 11153<, 1113AAF5,  , 1162AB4, 08338, 10035, 1201C5, 
219317,  , 1164B1, 1723B0, 1205C2, 1162DPPA6,  ,  , 20531, 
219320, 1162AB3,  , 1113BP2, 10031, 20530,  ,  , 1113AAF0, 
219323,  ,  , 1162AB2, 11153:, 10032,  , 1113AAF:,  , 
